Date,Open,High,Low,Close
"Jul 18, 2016",1764.85,1792.32,1763.65,1788.12
"Jul 19, 2016",1787.40,1792.47,1774.74,1792.47
"Jul 20, 2016",1797.25,1800.65,1785.65,1800.41
"Jul 21, 2016",1800.15,1804.13,1791.87,1803.68
"Jul 22, 2016",1800.87,1800.87,1784.74,1792.97
"Jul 25, 2016",1798.64,1819.01,1798.64,1814.75
"Jul 26, 2016",1812.16,1812.48,1798.27,1803.96
"Jul 27, 2016",1800.65,1803.09,1786.66,1797.63
"Jul 28, 2016",1791.55,1797.62,1783.83,1788.51
"Jul 29, 2016",1792.92,1792.92,1756.72,1759.74
"Aug 01, 2016",1760.37,1773.96,1749.18,1762.12
"Aug 02, 2016",1777.79,1819.49,1775.63,1803.63
"Aug 03, 2016",1806.56,1810.12,1787.69,1790.09
"Aug 04, 2016",1791.12,1820.24,1791.12,1820.24
"Aug 05, 2016",1822.66,1828.79,1811.16,1825.45
"Aug 08, 2016",1828.23,1838.91,1826.49,1837.05
"Aug 09, 2016",1836.65,1850.53,1823.54,1847.15
"Aug 10, 2016",1845.78,1852.54,1838.78,1852.54
"Aug 11, 2016",1850.84,1864.93,1844.97,1864.70
"Aug 12, 2016",1863.79,1869.53,1854.84,1857.70
"Aug 16, 2016",1856.22,1856.76,1844.83,1846.86
"Aug 17, 2016",1847.28,1848.64,1821.22,1824.40
"Aug 18, 2016",1824.61,1830.47,1808.68,1821.01
"Aug 19, 2016",1824.95,1825.89,1797.51,1800.17
"Aug 22, 2016",1799.87,1811.69,1793.96,1800.34
"Aug 23, 2016",1793.48,1804.55,1779.58,1790.60
"Aug 24, 2016",1787.89,1792.40,1774.07,1786.32
"Aug 25, 2016",1788.99,1788.99,1773.67,1781.68
"Aug 26, 2016",1783.26,1784.47,1772.70,1775.90
"Aug 29, 2016",1772.66,1782.10,1770.56,1777.35
"Aug 30, 2016",1776.41,1802.87,1771.51,1798.23
"Aug 31, 2016",1797.35,1797.35,1788.79,1793.56
"Sep 01, 2016",1796.61,1803.95,1759.68,1761.68
"Sep 02, 2016",1760.27,1769.58,1753.65,1767.55
"Sep 05, 2016",1770.85,1794.50,1770.72,1788.02
"Sep 06, 2016",1792.02,1799.76,1774.73,1790.83
"Sep 07, 2016",1792.71,1815.28,1792.71,1810.02
"Sep 08, 2016",1811.76,1818.94,1789.59,1793.48
"Sep 09, 2016",1792.55,1792.62,1753.12,1754.12
"Sep 12, 2016",1746.60,1746.60,1710.61,1731.37
"Sep 13, 2016",1736.54,1745.40,1718.56,1727.69
